code	parent	level	unit	name
25549	706	3	xã	Tân Hưng
707	72	2	huyện	Dương Minh Châu
25552	707	3	thị trấn	Dương Minh Châu
25555	707	3	xã	Suối Đá
25558	707	3	xã	Phan
25561	707	3	xã	Phước Ninh
25564	707	3	xã	Phước Minh
25567	707	3	xã	Bàu Năng
25570	707	3	xã	Chà Là
25573	707	3	xã	Cầu Khởi
25576	707	3	xã	Bến Củi
25579	707	3	xã	Lộc Ninh
25582	707	3	xã	Truông Mít
708	72	2	huyện	Châu Thành
25585	708	3	thị trấn	Châu Thành
25588	708	3	xã	Hảo Đước
25591	708	3	xã	Phước Vinh
25594	708	3	xã	Đồng Khởi
25597	708	3	xã	Thái Bình
25600	708	3	xã	An Cơ
25603	708	3	xã	Biên Giới
25606	708	3	xã	Hòa Thạnh
25609	708	3	xã	Trí Bình
25612	708	3	xã	Hòa Hội
25615	708	3	xã	An Bình
25618	708	3	xã	Thanh Điền
25621	708	3	xã	Thành Long
25624	708	3	xã	Ninh Điền
25627	708	3	xã	Long Vĩnh
709	72	2	thị xã	Hòa Thành
25630	709	3	phường	Long Hoa
25633	709	3	phường	Hiệp Tân
25636	709	3	phường	Long Thành Bắc
25639	709	3	xã	Trường Hòa
25642	709	3	xã	Trường Đông
25645	709	3	phường	Long Thành Trung
25648	709	3	xã	Trường Tây
25651	709	3	xã	Long Thành Nam
710	72	2	huyện	Gò Dầu
25654	710	3	thị trấn	Gò Dầu
25657	710	3	xã	Thạnh Đức
25660	710	3	xã	Cẩm Giang
25663	710	3	xã	Hiệp Thạnh
25666	710	3	xã	Bàu Đồn
25669	710	3	xã	Phước Thạnh
25672	710	3	xã	Phước Đông
25675	710	3	xã	Phước Trạch
25678	710	3	xã	Thanh Phước
711	72	2	huyện	Bến Cầu
25681	711	3	thị trấn	Bến Cầu
25684	711	3	xã	Long Chữ
25687	711	3	xã	Long Phước
25690	711	3	xã	Long Giang
25693	711	3	xã	Tiên Thuận
25696	711	3	xã	Long Khánh
25699	711	3	xã	Lợi Thuận
25702	711	3	xã	Long Thuận
25705	711	3	xã	An Thạnh
712	72	2	thị xã	Trảng Bàng
25708	712	3	phường	Trảng Bàng
25711	712	3	xã	Đôn Thuận
25714	712	3	xã	Hưng Thuận
25717	712	3	phường	Lộc Hưng
25720	712	3	phường	Gia Lộc
25723	712	3	phường	Gia Bình
25729	712	3	xã	Phước Bình
25732	712	3	phường	An Tịnh
25735	712	3	phường	An Hòa
25738	712	3	xã	Phước Chỉ
74		1	tỉnh	Bình Dương
718	74	2	thành phố	Thủ Dầu Một
25741	718	3	phường	Hiệp Thành
25744	718	3	phường	Phú Lợi
25747	718	3	phường	Phú Cường
25750	718	3	phường	Phú Hòa
25753	718	3	phường	Phú Thọ
25756	718	3	phường	Chánh Nghĩa
25759	718	3	phường	Định Hoà
25760	718	3	phường	Hoà Phú
25762	718	3	phường	Phú Mỹ
25763	718	3	phường	Phú Tân
25765	718	3	phường	Tân An
25768	718	3	phường	Hiệp An
25771	718	3	phường	Tương Bình Hiệp
25774	718	3	phường	Chánh Mỹ
719	74	2	huyện	Bàu Bàng
25816	719	3	xã	Trừ Văn Thố
25819	719	3	xã	Cây Trường II
25822	719	3	thị trấn	Lai Uyên
25825	719	3	xã	Tân Hưng
25828	719	3	xã	Long Nguyên
25831	719	3	xã	Hưng Hòa
25834	719	3	xã	Lai Hưng
720	74	2	huyện	Dầu Tiếng
25777	720	3	thị trấn	Dầu Tiếng
25780	720	3	xã	Minh Hoà
25783	720	3	xã	Minh Thạnh
25786	720	3	xã	Minh Tân
25789	720	3	xã	Định An
25792	720	3	xã	Long Hoà
25795	720	3	xã	Định Thành
25798	720	3	xã	Định Hiệp
25801	720	3	xã	An Lập
25804	720	3	xã	Long Tân
25807	720	3	xã	Thanh An
25810	720	3	xã	Thanh Tuyền
721	74	2	thành phố	Bến Cát
25813	721	3	phường	Mỹ Phước
25837	721	3	phường	Chánh Phú Hòa
25840	721	3	phường	An Điền
25843	721	3	phường	An Tây
25846	721	3	phường	Thới Hòa
25849	721	3	phường	Hòa Lợi
25852	721	3	phường	Tân Định
25855	721	3	xã	Phú An
722	74	2	huyện	Phú Giáo
25858	722	3	thị trấn	Phước Vĩnh
25861	722	3	xã	An Linh
25864	722	3	xã	Phước Sang
25865	722	3	xã	An Thái
25867	722	3	xã	An Long
25870	722	3	xã	An Bình
25873	722	3	xã	Tân Hiệp
25876	722	3	xã	Tam Lập
25879	722	3	xã	Tân Long
25882	722	3	xã	Vĩnh Hoà
25885	722	3	xã	Phước Hoà
723	74	2	thành phố	Tân Uyên
25888	723	3	phường	Uyên Hưng
25891	723	3	phường	Tân Phước Khánh
25912	723	3	phường	Vĩnh Tân
25915	723	3	phường	Hội Nghĩa
25920	723	3	phường	Tân Hiệp
25921	723	3	phường	Khánh Bình
25924	723	3	phường	Phú Chánh
25930	723	3	xã	Bạch Đằng
25933	723	3	phường	Tân Vĩnh Hiệp
25936	723	3	phường	Thạnh Phước
25937	723	3	xã	Thạnh Hội
25939	723	3	phường	Thái Hòa
724	74	2	thành phố	Dĩ An
25942	724	3	phường	Dĩ An
25945	724	3	phường	Tân Bình
25948	724	3	phường	Tân Đông Hiệp
